decade,word,count
1930.0,title,34
1930.0,study,30
1930.0,portrait,25
1930.0,figure,19
1930.0,construction,19
1930.0,landscape,17
1930.0,head,16
1930.0,woman,16
1930.0,model,15
1930.0,nude,11
1930.0,still,11
1930.0,life,11
1930.0,de,10
1930.0,london,10
1930.0,le,10
1930.0,sphinx,9
1930.0,three,9
1930.0,fall,9
1930.0,painting,9
1930.0,forms,9
1930.0,composition,9
1930.0,self,8
1930.0,artist,8
1930.0,la,8
1930.0,reclining,7
1930.0,seated,7
1930.0,mrs,7
1930.0,figures,7
1930.0,house,7
1930.0,two,7
1930.0,relief,7
1930.0,space,7
1930.0,man,6
1930.0,church,6
1930.0,wife,6
1930.0,scene,6
1930.0,winter,6
1930.0,day,6
1930.0,ii,6
1930.0,interior,6
1910.0,study,26
1910.0,sketch,23
1910.0,making,20
1910.0,girl,17
1910.0,portrait,16
1910.0,head,15
1910.0,woman,14
1910.0,jesus,14
1910.0,landscape,12
1910.0,nude,12
1910.0,work,12
1910.0,preparatory,12
1910.0,women,11
1910.0,bowl,11
1910.0,artist,11
1910.0,life,11
1910.0,mother,10
1910.0,still,10
1910.0,composition,10
1910.0,abstract,10
1910.0,milk,10
1910.0,sea,9
1910.0,child,9
1910.0,two,9
1910.0,rossetti,8
1910.0,mr,8
1910.0,guns,8
1910.0,church,7
1910.0,soldiers,7
1910.0,self,7
1910.0,transport,7
1910.0,new,6
1910.0,interior,6
1910.0,la,6
1910.0,view,6
1910.0,cross,6
1910.0,bridge,6
1910.0,horse,6
1910.0,coffee,6
1910.0,building,6
1950.0,figure,58
1950.0,composition,42
1950.0,title,41
1950.0,head,39
1950.0,study,38
1950.0,black,29
1950.0,woman,26
1950.0,two,26
1950.0,life,21
1950.0,ii,20
1950.0,red,20
1950.0,apn,20
1950.0,man,19
1950.0,portrait,18
1950.0,painting,17
1950.0,model,17
1950.0,seated,16
1950.0,nude,15
1950.0,still,15
1950.0,landscape,15
1950.0,blue,14
1950.0,standing,14
1950.0,yellow,14
1950.0,white,12
1950.0,maquette,12
1950.0,figures,12
1950.0,contact,12
1950.0,sheet,12
1950.0,americans,12
1950.0,bowl,12
1950.0,flowers,11
1950.0,forms,11
1950.0,form,11
1950.0,bird,10
1950.0,unknown,10
1950.0,political,10
1950.0,prisoner,10
1950.0,reclining,9
1950.0,grey,9
1950.0,tree,9
1900.0,study,29
1900.0,anatomical,20
1900.0,girl,17
1900.0,mrs,13
1900.0,portrait,13
1900.0,woman,12
1900.0,landscape,12
1900.0,wertheimer,10
1900.0,tailor,9
1900.0,two,8
1900.0,morning,8
1900.0,black,8
1900.0,asher,8
1900.0,man,8
1900.0,verso,7
1900.0,simpkin,7
1900.0,mice,7
1900.0,children,7
1900.0,nude,7
1900.0,st,6
1900.0,white,6
1900.0,de,6
1900.0,gardens,6
1900.0,muscles,6
1900.0,lady,5
1900.0,child,5
1900.0,artist,5
1900.0,venice,5
1900.0,church,5
1900.0,interior,5
1900.0,kensington,5
